variable_code,variable_label,dimension_code,mechanism_code,variable_type,status,notes
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,,M07,reference count,first_pass,WS_002
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,,M07,reference count,first_pass,WS_021
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_001
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_003
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_009
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_011
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_013
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_016
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D01,M07,reference count,first_pass,WS_018
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_004
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_006
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_010
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_014
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_019
ALIGNMENT_REFERENCE_COUNT,alignment_reference_count,D03,M07,reference count,first_pass,WS_020
CREDIT_SANCTIONS_EPISODE,credit_sanctions_episode,D08,M03,binary/event marker,first_pass,WS_007
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D01,M02,binary/event marker,first_pass,WS_003
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D01,M02,binary/event marker,first_pass,WS_008
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D01,M02,binary/event marker,first_pass,WS_013
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D01,M02,binary/event marker,first_pass,WS_018
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D03,M02,binary/event marker,first_pass,WS_006
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D03,M02,binary/event marker,first_pass,WS_010
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D03,M02,binary/event marker,first_pass,WS_014
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D03,M02,binary/event marker,first_pass,WS_019
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D03,M02,binary/event marker,first_pass,WS_020
DIPLOMATIC_ISOLATION_EPISODE,diplomatic_isolation_episode,D08,M02,binary/event marker,first_pass,WS_007
PRESSURE_EPISODE_COUNT,pressure_episode_count,,M01,event count,first_pass,WS_005
PRESSURE_EPISODE_COUNT,pressure_episode_count,D01,M01,event count,first_pass,WS_012
PRESSURE_EPISODE_COUNT,pressure_episode_count,D01,M01,event count,first_pass,WS_017
PRESSURE_EPISODE_COUNT,pressure_episode_count,D08,M01,event count,first_pass,WS_007
PRESSURE_EPISODE_COUNT,pressure_episode_count,D08,M01,event count,first_pass,WS_015
RESOURCE_SOVEREIGNTY_CONFLICT,resource_sovereignty_conflict,D01,M06,event marker,first_pass,WS_011
RESOURCE_SOVEREIGNTY_CONFLICT,resource_sovereignty_conflict,D03,M06,event marker,first_pass,WS_006
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_001
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_008
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_009
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_011
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_012
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D01,M08,reference count,first_pass,WS_017
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D03,M08,reference count,first_pass,WS_010
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D03,M08,reference count,first_pass,WS_014
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D03,M08,reference count,first_pass,WS_020
SECURITY_DOCTRINE_INVOCATION_COUNT,security_doctrine_invocation_count,D08,M08,reference count,first_pass,WS_015
TRADE_DISRUPTION_EPISODE,trade_disruption_episode,D01,M04,binary/event marker,first_pass,WS_008
