window,ecdet,p,r,T,m,K,gate_ok,gate_T_eff,gate_min_eff,runtime_ok,runtime_reason,logLik,k_total,PIC,BIC,comparable_p,status,PIC_obs,BIC_obs,spec,basis,source_file,run_tag,include_e_raw,e_raw_mode,spec_type,degree_meta,vars,e_linear,e_linear_mode,PIC_min,dPIC,in_ambiguity
fordism,const,1,1,49,5,2,TRUE,48,35,TRUE,NA,478.56221512327903,11,-898.9508746223386,-914.3144069673413,TRUE,computed,-898.9508746223386,-914.3144069673413,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-898.9508746223386,0,TRUE
fordism,none,1,1,49,5,2,TRUE,48,30,TRUE,NA,481.9216007056024,10,-910.9581508437326,-924.9249984300986,TRUE,computed,-910.9581508437326,-924.9249984300986,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-910.9581508437326,0,TRUE
full,const,1,1,99,5,2,TRUE,98,35,TRUE,NA,832.058694118289,11,-1587.03451366079,-1613.5710698850976,TRUE,computed,-1587.03451366079,-1613.5710698850976,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1587.03451366079,0,TRUE
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,839.9263554360724,10,-1609.7773703487012,-1633.9015123707989,TRUE,computed,-1609.7773703487012,-1633.9015123707989,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1609.7773703487012,0,TRUE
post_fordism,const,1,1,50,5,2,TRUE,49,35,TRUE,NA,545.5209451178139,11,-1032.343546085903,-1048.0096371759182,TRUE,computed,-1032.343546085903,-1048.0096371759182,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1032.343546085903,0,TRUE
post_fordism,none,1,1,50,5,2,TRUE,49,30,TRUE,NA,552.9525447424408,10,-1052.542958439677,-1066.7848594306,TRUE,computed,-1052.542958439677,-1066.7848594306,Q2,ortho,APPX_grid_pic_table_Q2_ortho_unrestricted.csv,Q2_ortho,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1052.542958439677,0,TRUE
fordism,const,1,1,49,5,2,TRUE,48,35,TRUE,NA,479.658698897921,11,-901.1438421716224,-916.5073745166252,TRUE,computed,-901.1438421716224,-916.5073745166252,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-901.1438421716224,0,TRUE
fordism,none,1,1,49,5,2,TRUE,48,30,TRUE,NA,483.0180844802464,10,-913.1511183930204,-927.1179659793866,TRUE,computed,-913.1511183930204,-927.1179659793866,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-913.1511183930204,0,TRUE
full,const,1,1,99,5,2,TRUE,98,35,TRUE,NA,834.3216499936094,11,-1591.5604254114307,-1618.0969816357383,TRUE,computed,-1591.5604254114307,-1618.0969816357383,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1591.5604254114307,0,TRUE
full,none,1,1,99,5,2,TRUE,98,30,TRUE,NA,842.1893113113941,10,-1614.3032820993446,-1638.4274241214423,TRUE,computed,-1614.3032820993446,-1638.4274241214423,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1614.3032820993446,0,TRUE
post_fordism,const,1,1,50,5,2,TRUE,49,35,TRUE,NA,546.6407583344698,11,-1034.5831725192147,-1050.24926360923,TRUE,computed,-1034.5831725192147,-1050.24926360923,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1034.5831725192147,0,TRUE
post_fordism,none,1,1,50,5,2,TRUE,49,30,TRUE,NA,554.0723579590924,10,-1054.7825848729804,-1069.0244858639037,TRUE,computed,-1054.7825848729804,-1069.0244858639037,Q2,raw,APPX_grid_pic_table_Q2_raw_unrestricted.csv,Q2_raw,FALSE,NA,,2,"log_y, log_k, e_raw, Q1_logK, Q2_logK",FALSE,none,-1054.7825848729804,0,TRUE
fordism,const,1,2,49,6,2,TRUE,48,40,TRUE,NA,590.1336715962092,26,-1042.7662117169905,-1079.0800154415422,TRUE,computed,-1042.7662117169905,-1079.0800154415422,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1055.8805596628304,13.114347945839882,FALSE
fordism,none,1,2,49,6,2,TRUE,48,35,TRUE,NA,593.5352080417974,24,-1060.1462947216614,-1093.6667289289398,TRUE,computed,-1060.1462947216614,-1093.6667289289398,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1069.176693337181,9.030398615519516,FALSE
full,const,1,1,99,6,2,TRUE,98,40,TRUE,NA,938.2039309257906,13,-1785.3099191711044,-1816.6713037998315,TRUE,computed,-1785.3099191711044,-1816.6713037998315,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1785.3099191711044,0,TRUE
full,none,1,1,99,6,2,TRUE,98,35,TRUE,NA,945.795092578932,12,-1807.4997765297317,-1836.448746956249,TRUE,computed,-1807.4997765297317,-1836.448746956249,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1807.4997765297317,0,TRUE
post_fordism,const,1,1,50,6,2,TRUE,49,40,TRUE,NA,602.8036404155354,13,-1136.2365104723049,-1154.7509817605048,TRUE,computed,-1136.2365104723049,-1154.7509817605048,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1136.2365104723049,0,TRUE
post_fordism,none,1,1,50,6,2,TRUE,49,35,TRUE,NA,608.7830892164263,12,-1153.531621178607,-1170.621902367715,TRUE,computed,-1153.531621178607,-1170.621902367715,Q3,ortho,APPX_grid_pic_table_Q3_ortho_unrestricted.csv,Q3_ortho,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1153.531621178607,0,TRUE
fordism,const,1,2,49,6,2,TRUE,48,40,TRUE,NA,783.0593709202072,26,-1428.6176103649866,-1464.9314140895383,TRUE,computed,-1428.6176103649866,-1464.9314140895383,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1441.7319583107462,13.114347945759619,FALSE
fordism,none,1,2,49,6,2,TRUE,48,35,TRUE,NA,786.4609073652399,24,-1445.9976933685464,-1479.5181275758248,TRUE,computed,-1445.9976933685464,-1479.5181275758248,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1455.028091984594,9.030398616047705,FALSE
full,const,1,1,99,6,2,TRUE,98,40,TRUE,NA,1336.369735913552,13,-2581.641529146627,-2613.002913775354,TRUE,computed,-2581.641529146627,-2613.002913775354,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-2581.641529146627,0,TRUE
full,none,1,1,99,6,2,TRUE,98,35,TRUE,NA,1343.9608975666245,12,-2603.8313865051164,-2632.780356931634,TRUE,computed,-2603.8313865051164,-2632.780356931634,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-2603.8313865051164,0,TRUE
post_fordism,const,1,1,50,6,2,TRUE,49,40,TRUE,NA,799.8341418527316,13,-1530.2975133466975,-1548.8119846348973,TRUE,computed,-1530.2975133466975,-1548.8119846348973,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1530.2975133466975,0,TRUE
post_fordism,none,1,1,50,6,2,TRUE,49,35,TRUE,NA,805.8135906536797,12,-1547.5926240531142,-1564.6829052422218,TRUE,computed,-1547.5926240531142,-1564.6829052422218,Q3,raw,APPX_grid_pic_table_Q3_raw_unrestricted.csv,Q3_raw,FALSE,NA,,3,"log_y, log_k, e_raw, Q1_logK, Q2_logK, Q3_logK",FALSE,none,-1547.5926240531142,0,TRUE
