"cell_id","det_tag","unit_root_count","unstable_count","max_mod_all","max_mod_nonunit","stability_margin"
"p01_K_only_const_trend","SR_const__LR_trend",1,0,1,0.923583380979721,0.0764166190202793
"p01_K_short_const_trend","SR_const__LR_trend",1,0,1,0.901506176658112,0.0984938233418882
"p01_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.946307591953998,0.0536924080460016
"p01_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.901506176658112,0.0984938233418882
"p01_sym_const_trend","SR_const__LR_trend",1,0,1,0.901506176658112,0.0984938233418882
"p02_K_only_const_trend","SR_const__LR_trend",1,0,0.999999999999999,0.962057018662533,0.0379429813374667
"p02_K_short_const_trend","SR_const__LR_trend",1,0,0.999999999999999,0.96774767924073,0.0322523207592698
"p02_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.970116600156872,0.0298833998431278
"p02_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.962321333835523,0.0376786661644766
"p02_sym_const_trend","SR_const__LR_trend",1,0,1,0.966403493437162,0.0335965065628383
"p03_K_only_const_trend","SR_const__LR_trend",1,0,1,0.796248325339446,0.203751674660554
"p03_K_short_const_trend","SR_const__LR_trend",1,0,0.999999999999999,0.706408593239945,0.293591406760055
"p03_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.887867322255933,0.112132677744067
"p03_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.740101730915414,0.259898269084586
"p03_sym_const_trend","SR_const__LR_trend",1,0,1,0.786628960873883,0.213371039126117
"p04_K_only_const_trend","SR_const__LR_trend",1,0,1,0.792003200005503,0.207996799994497
"p04_K_short_const_trend","SR_const__LR_trend",1,0,1,0.875831538687128,0.124168461312872
"p04_Y_only_const_trend","SR_const__LR_trend",1,0,1.00000000000001,0.991296730604684,0.00870326939531618
"p04_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.819512650525596,0.180487349474404
"p04_sym_const_trend","SR_const__LR_trend",1,0,0.999999999999999,0.908825371259191,0.0911746287408094
"p05_K_only_const_trend","SR_const__LR_trend",1,0,1,0.88490836247066,0.11509163752934
"p05_K_short_const_trend","SR_const__LR_trend",1,0,1,0.77202286438771,0.22797713561229
"p05_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.964426928490921,0.0355730715090785
"p05_Y_short_const_trend","SR_const__LR_trend",1,0,0.999999999999998,0.887223870042587,0.112776129957413
"p05_sym_const_trend","SR_const__LR_trend",1,0,0.999999999999996,0.923404642396057,0.0765953576039425
"p06_K_only_const_trend","SR_const__LR_trend",1,0,1,0.93418715285053,0.0658128471494696
"p06_K_short_const_trend","SR_const__LR_trend",1,0,1,0.88692869544619,0.11307130455381
"p06_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.951637296487187,0.0483627035128132
"p06_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.901070056571516,0.0989299434284842
"p06_sym_const_trend","SR_const__LR_trend",1,0,1,0.925744695634192,0.0742553043658076
"p07_K_only_const_trend","SR_const__LR_trend",1,0,0.999999999999996,0.929427274956135,0.0705727250438649
"p07_K_short_const_trend","SR_const__LR_trend",1,0,1,0.857945786136584,0.142054213863416
"p07_Y_only_const_trend","SR_const__LR_trend",1,0,1,0.934068023986991,0.0659319760130094
"p07_Y_short_const_trend","SR_const__LR_trend",1,0,1,0.917155768660056,0.0828442313399443
"p07_sym_const_trend","SR_const__LR_trend",1,0,0.999999999999998,0.970393527374788,0.0296064726252119
