spec,window,basis,det_tag,m,T_window,p_max_any,p_max_allr
Q1,fordism,ortho,SR_const__LR_none,4,49,7,7
Q1,fordism,ortho,SR_none__LR_const,4,49,7,7
Q1,fordism,ortho,SR_none__LR_none,4,49,7,7
Q1,fordism,raw,SR_const__LR_none,4,49,7,7
Q1,fordism,raw,SR_none__LR_const,4,49,7,7
Q1,fordism,raw,SR_none__LR_none,4,49,7,7
Q1,full,ortho,SR_const__LR_none,4,99,7,7
Q1,full,ortho,SR_none__LR_const,4,99,7,7
Q1,full,ortho,SR_none__LR_none,4,99,7,7
Q1,full,raw,SR_const__LR_none,4,99,7,7
Q1,full,raw,SR_none__LR_const,4,99,7,7
Q1,full,raw,SR_none__LR_none,4,99,7,7
Q1,post_fordism,ortho,SR_const__LR_none,4,50,7,7
Q1,post_fordism,ortho,SR_none__LR_const,4,50,7,7
Q1,post_fordism,ortho,SR_none__LR_none,4,50,7,7
Q1,post_fordism,raw,SR_const__LR_none,4,50,7,7
Q1,post_fordism,raw,SR_none__LR_const,4,50,7,7
Q1,post_fordism,raw,SR_none__LR_none,4,50,7,7
Q2,fordism,ortho,SR_const__LR_none,5,49,7,6
Q2,fordism,ortho,SR_none__LR_const,5,49,7,6
Q2,fordism,ortho,SR_none__LR_none,5,49,7,6
Q2,fordism,raw,SR_const__LR_none,5,49,7,6
Q2,fordism,raw,SR_none__LR_const,5,49,7,6
Q2,fordism,raw,SR_none__LR_none,5,49,7,6
Q2,full,ortho,SR_const__LR_none,5,99,7,7
Q2,full,ortho,SR_none__LR_const,5,99,7,7
Q2,full,ortho,SR_none__LR_none,5,99,7,7
Q2,full,raw,SR_const__LR_none,5,99,7,7
Q2,full,raw,SR_none__LR_const,5,99,7,7
Q2,full,raw,SR_none__LR_none,5,99,7,7
Q2,post_fordism,ortho,SR_const__LR_none,5,50,7,6
Q2,post_fordism,ortho,SR_none__LR_const,5,50,7,6
Q2,post_fordism,ortho,SR_none__LR_none,5,50,7,6
Q2,post_fordism,raw,SR_const__LR_none,5,50,7,6
Q2,post_fordism,raw,SR_none__LR_const,5,50,7,6
Q2,post_fordism,raw,SR_none__LR_none,5,50,7,6
Q3,fordism,ortho,SR_const__LR_none,6,49,6,5
Q3,fordism,ortho,SR_none__LR_const,6,49,6,5
Q3,fordism,ortho,SR_none__LR_none,6,49,6,5
Q3,fordism,raw,SR_const__LR_none,6,49,5,5
Q3,fordism,raw,SR_none__LR_const,6,49,6,5
Q3,fordism,raw,SR_none__LR_none,6,49,6,5
Q3,full,ortho,SR_const__LR_none,6,99,7,7
Q3,full,ortho,SR_none__LR_const,6,99,7,7
Q3,full,ortho,SR_none__LR_none,6,99,7,7
Q3,full,raw,SR_const__LR_none,6,99,7,7
Q3,full,raw,SR_none__LR_const,6,99,7,7
Q3,full,raw,SR_none__LR_none,6,99,7,7
Q3,post_fordism,ortho,SR_const__LR_none,6,50,6,5
Q3,post_fordism,ortho,SR_none__LR_const,6,50,6,5
Q3,post_fordism,ortho,SR_none__LR_none,6,50,6,5
Q3,post_fordism,raw,SR_const__LR_none,6,50,6,5
Q3,post_fordism,raw,SR_none__LR_const,6,50,6,5
Q3,post_fordism,raw,SR_none__LR_none,6,50,6,5
