"decision_id","decision_area","object_or_rule","planning_decision","implementation_status","required_validation","prohibited_action"
"D01","Upstream gate","S14 decision","Recognize AUTHORIZE_S20_MODEL_INPUT_LAYER as the sole GPIM architecture authorization.","LOCKED","Exact S14 decision must be present and all S14 validations must remain PASS.","Do not consume S12D or provider artifacts directly."
"D02","Planning gate","S15 decision","Recognize AUTHORIZE_S20_PLANNING_NOTE as authorization to specify, but not execute, the S20 model-input layer.","LOCKED","Exact S15 decision must be present.","Do not treat S15 as authorization to construct model inputs."
"D03","Authorized registry","Eight S14 GPIM variables","Preserve exactly the eight S14-registered nominal investment, SFC price, real investment, and gross-stock variables as the authorized GPIM registry.","LOCKED","Variable IDs must match the S14 allowlist exactly.","Do not add net-value, FAAt402, output-price translation, or other S12D objects."
"D04","Component capital","K_GROSS_GPIM_ME; K_GROSS_GPIM_NRC","Retain both real gross GPIM component stocks as composition-preserving model inputs.","AUTHORIZE_FOR_IMPLEMENTATION_PROMPT","Both components must retain millions_2017 units, provenance, coverage, and asset labels.","Do not assign fixed intensive/extensive meanings in S20."
"D05","Aggregate capital","K_GROSS_GPIM_TOTAL","Plan a derived scale object equal to K_GROSS_GPIM_ME + K_GROSS_GPIM_NRC only where both registered component values exist and share millions_2017 units.","AUTHORIZE_FOR_IMPLEMENTATION_PROMPT","Row-level identity, finite values, common unit, and component provenance must pass.","Do not treat the sum as physical homogenization or an automatically innocent theoretical conclusion."
"D06","Aggregate support","Common support 1931-2024","Use common support as the conservative baseline: K_GROSS_GPIM_TOTAL begins in 1931. Preserve 1925-1930 ME observations only in the component series and flag aggregate availability as false.","AUTHORIZE_FOR_IMPLEMENTATION_PROMPT","Aggregate baseline must contain no partial-support sums and must start in 1931.","Do not substitute zero or carry NRC backward before 1931."
"D07","Theta discipline","theta_t","S20 prepares admissible inputs for later long-run coefficient recovery; theta_t is neither observed nor estimated in S20.","LOCKED","No theta estimate, fitted coefficient, productive-capacity path, or utilization series may be emitted.","Do not estimate theta_t or create econometric objects."
"D08","Distribution baseline","Unadjusted wage share","Use wage share as the preferred distributive input, conditional on an implementation prompt naming its authorized source artifact, boundary, formula, unit, coverage, and join rule.","AUTHORIZE_CONDITIONAL_INPUT","The implementation prompt must fail closed if the named wage-share input is absent or unaudited.","Do not derive a wage share from an unapproved source or silently change sector boundaries."
"D09","Distribution alternative","Profit share","Retain profit share only as alternative or reconciliation evidence, with a separate role tag and no baseline substitution.","AUTHORIZE_OPTIONAL_ALTERNATIVE","Any profit-share input must carry source, formula, boundary, and alternative-role metadata.","Do not promote profit share as the preferred baseline without a new decision."
"D10","Shaikh adjustment","Adjusted corporate wage/profit shares","Plan a conditional robustness or future-candidate lane. It remains BLOCKED unless both current-release data and a completed semantic/accounting crosswalk are explicitly available.","BLOCKED_PENDING_CROSSWALK_AND_DATA","Require crosswalk identifier, accounting identity, source lines, sign convention, validation, and non-overwrite check.","Do not overwrite the unadjusted wage-share baseline."
"D11","Frontier conditioners","IPP; government transportation","Register potential future control-conditioner roles and required source lanes only. Exclude both from baseline capital and baseline specifications.","PARKED_CONTROL_CANDIDATES","Future activation requires separately authorized inputs and explicit robustness-specification metadata.","Do not treat either object as productive capital or a productive-efficiency profile."
"D12","Accumulated q","All accumulated q objects","Keep accumulated q parked. S20 constructs none and does not authorize S21.","PARKED","No q variable may appear in S20 outputs; any later S21 decision must define capital basis, reset logic, centering, support, and initialization.","Do not construct accumulated q or open S21 automatically."
"D13","Centering","Distribution reference","Use a declared constant reference for any later centered distribution input. Rolling-window means remain diagnostic only.","AUTHORIZE_FOR_IMPLEMENTATION_PROMPT","Reference value, reference sample, and transformation rule must be exported.","Do not use rolling-window centering as the baseline."
"D14","Stage boundary","S20 implementation","The next permitted action is a bounded S20 implementation prompt that consumes S14 GPIM artifacts and separately authorized distribution inputs.","AUTHORIZE_S20_IMPLEMENTATION_PROMPT","Implementation must pass all planned object, role, support, provenance, and boundary checks before any later stage can reopen.","Do not invoke S21, S22, S30I, S30, or S32."
"D15","Later-stage gate","S21 and econometric stages","Keep S21 and all econometric stages closed after the planning note. Their reopening requires a later explicit decision based on completed S20 validation.","BLOCKED_PENDING_S20_VALIDATION","Require an explicit post-implementation decision and stage-specific contract.","Do not infer downstream authorization from this planning decision."
