term,estimate,se,t_stat,p_value
(Intercept),-0.1531731959395175,0.02434259138023394,-6.292394821362091,6.226977936980936e-6
"d(L(g_Kn, 1))",0.32442203113367274,0.08508945975553003,3.812717016487912,0.0012747477370229044
d(mu),0.20341276835480174,0.02446525245457252,8.314353948830158,1.409417208224274e-7
"d(L(mu, 1))",-0.018502973476178936,0.027768677629333396,-0.6663253368836458,0.5136535394298409
d(B_real),0.09031787814333361,0.0844217406400254,1.0698414585935792,0.298827773173378
"d(L(B_real, 1))",-0.14203653874821,0.08249681307066088,-1.7217215242793882,0.1022601526481834
d(PyPK),-0.07116703197412796,0.03998690283840348,-1.7797585439845327,0.09200442429366337
"d(L(PyPK, 1))",-0.07604638628481922,0.04376509867906909,-1.7376034461265557,0.09935978725078629
d(pi),-0.16256219079333983,0.12402288953231785,-1.3107434555536575,0.20642244481309827
"d(L(pi, 1))",0.14333365172462578,0.08846249216343344,1.6202759861187102,0.12255945070033648
ect,-0.5954455728803996,0.0947252370352485,-6.286028850567314,6.307171093818803e-6
